BBH 019
UT 2022/04/12 COS/NUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
       999.54850               0.0000000                      0.0000000
       999.61440               0.0000000                      0.0000000
       999.68029               0.0000000                      0.0000000
       999.74619               0.0000000                      0.0000000
       999.81208               0.0000000                      0.0000000
       999.87798               0.0000000                      0.0000000
       999.94387               0.0000000                      0.0000000
       1000.0098               0.0000000                      0.0000000
       1000.0757               0.0000000                      0.0000000
       1000.1416               0.0000000                      0.0000000
       1000.2075               0.0000000                      0.0000000
       1000.2733               0.0000000                      0.0000000
       1000.3392               0.0000000                      0.0000000
       1000.4051               0.0000000                      0.0000000
       1000.4710               0.0000000                      0.0000000
       1000.5369               0.0000000                      0.0000000
       1000.6028               0.0000000                      0.0000000
       1000.6687               0.0000000                      0.0000000
       1000.7346               0.0000000                      0.0000000
       1000.8005               0.0000000                      0.0000000
       1000.8664               0.0000000                      0.0000000
       1000.9323               0.0000000                      0.0000000
       1000.9982               0.0000000                      0.0000000
       1001.0641               0.0000000                      0.0000000
       1001.1300               0.0000000                      0.0000000
       1001.1959               0.0000000                      0.0000000
       1001.2618               0.0000000                      0.0000000
       1001.3277               0.0000000                      0.0000000
       1001.3936               0.0000000                      0.0000000
       1001.4594               0.0000000                      0.0000000
       1001.5253               0.0000000                      0.0000000
       1001.5912               0.0000000                      0.0000000
       1001.6571               0.0000000                      0.0000000
       1001.7230               0.0000000                      0.0000000
       1001.7889               0.0000000                      0.0000000
       1001.8548               0.0000000                      0.0000000
       1001.9207               0.0000000                      0.0000000
       1001.9866               0.0000000                      0.0000000
       1002.0525               0.0000000                      0.0000000
       1002.1184               0.0000000                      0.0000000
       1002.1843               0.0000000                      0.0000000
       1002.2502               0.0000000                      0.0000000
       1002.3161               0.0000000                      0.0000000
       1002.3820               0.0000000                      0.0000000
       1002.4479               0.0000000                      0.0000000
       1002.5138               0.0000000                      0.0000000
       1002.5797               0.0000000                      0.0000000
       1002.6456               0.0000000                      0.0000000
       1002.7114               0.0000000                      0.0000000
       1002.7773               0.0000000                      0.0000000
       1002.8432               0.0000000                      0.0000000
       1002.9091               0.0000000                      0.0000000
       1002.9750               0.0000000                      0.0000000
       1003.0409               0.0000000                      0.0000000
       1003.1068               0.0000000                      0.0000000
       1003.1727               0.0000000                      0.0000000
       1003.2386               0.0000000                      0.0000000
       1003.3045               0.0000000                      0.0000000
       1003.3704               0.0000000                      0.0000000
       1003.4363               0.0000000                      0.0000000
       1003.5022               0.0000000                      0.0000000
       1003.5681               0.0000000                      0.0000000
       1003.6340               0.0000000                      0.0000000
