BBH 019
UT 2022/04/12 COS/FUV G140L
 14115.7 second exposure
16384 points

     Wavelength (A)            Flux (erg/s/cm^2/A)            Flux Err erg/s/cm^2/A()
      -6.8737509               0.0000000                      0.0000000
      -6.8087588               0.0000000                      0.0000000
      -6.7437667               0.0000000                      0.0000000
      -6.6787746               0.0000000                      0.0000000
      -6.6137826               0.0000000                      0.0000000
      -6.5487905               0.0000000                      0.0000000
      -6.4837984               0.0000000                      0.0000000
      -6.4188063               0.0000000                      0.0000000
      -6.3538142               0.0000000                      0.0000000
      -6.2888222               0.0000000                      0.0000000
      -6.2238301               0.0000000                      0.0000000
      -6.1588380               0.0000000                      0.0000000
      -6.0938459               0.0000000                      0.0000000
      -6.0288538               0.0000000                      0.0000000
      -5.9638618               0.0000000                      0.0000000
      -5.8988697               0.0000000                      0.0000000
      -5.8338776               0.0000000                      0.0000000
      -5.7688855               0.0000000                      0.0000000
      -5.7038934               0.0000000                      0.0000000
      -5.6389014               0.0000000                      0.0000000
      -5.5739093               0.0000000                      0.0000000
      -5.5089172               0.0000000                      0.0000000
      -5.4439251               0.0000000                      0.0000000
      -5.3789330               0.0000000                      0.0000000
      -5.3139410               0.0000000                      0.0000000
      -5.2489489               0.0000000                      0.0000000
      -5.1839568               0.0000000                      0.0000000
      -5.1189647               0.0000000                      0.0000000
      -5.0539726               0.0000000                      0.0000000
      -4.9889806               0.0000000                      0.0000000
      -4.9239885               0.0000000                      0.0000000
      -4.8589964               0.0000000                      0.0000000
      -4.7940043               0.0000000                      0.0000000
      -4.7290122               0.0000000                      0.0000000
      -4.6640202               0.0000000                      0.0000000
      -4.5990281               0.0000000                      0.0000000
      -4.5340360               0.0000000                      0.0000000
      -4.4690439               0.0000000                      0.0000000
      -4.4040518               0.0000000                      0.0000000
      -4.3390598               0.0000000                      0.0000000
      -4.2740677               0.0000000                      0.0000000
      -4.2090756               0.0000000                      0.0000000
      -4.1440835               0.0000000                      0.0000000
      -4.0790914               0.0000000                      0.0000000
      -4.0140994               0.0000000                      0.0000000
      -3.9491073               0.0000000                      0.0000000
      -3.8841152               0.0000000                      0.0000000
      -3.8191231               0.0000000                      0.0000000
      -3.7541310               0.0000000                      0.0000000
      -3.6891390               0.0000000                      0.0000000
